x,y,potentiel
0,0,0
0.01416,0,0
0.01416,0.001,0.025549
0,0.001,10
0.00236,0.001,10
0,0.001035,10
0.00236,0.001035,10
0,0.012,3.08506
0.01416,0.012,1.63177
0.000102973,0,0
0.0002158,0,0
0.000339424,0,0
0.00047488,0,0
0.000623298,0,0
0.000785921,0,0
0.000964106,0,0
0.00115934,0,0
0.00137327,0,0
0.00160766,0,0
0.00186449,0,0
0.00214589,0,0
0.00245423,0,0
0.00279207,0,0
0.00316225,0,0
0.00356785,0,0
0.00401226,0,0
0.00449921,0,0
0.00503276,0,0
0.00561737,0,0
0.00625793,0,0
0.00695979,0,0
0.00772881,0,0
0.00857144,0,0
0.0094947,0,0
0.0105063,0,0
0.0116148,0,0
0.0128293,0,0
0.01416,0.00234058,0.361012
0.01416,0.00369086,0.678112
0.01416,0.0050509,0.962893
0.01416,0.00642077,1.20221
0.01416,0.00780054,1.39044
0.01416,0.00919029,1.5243
0.01416,0.0105901,1.60601
0.012744,0.012,1.65746
0.011328,0.012,1.73951
0.009912,0.012,1.8716
0.008496,0.012,2.04784
0.00708,0.012,2.25995
0.005664,0.012,2.49119
0.004248,0.012,2.717
0.002832,0.012,2.90872
0.001416,0.012,3.0399
0,0.0106587,3.12431
0,0.00945568,3.24004
0,0.00837665,3.42096
0,0.00740885,3.65855
0,0.00654081,3.95748
0,0.00576225,4.31941
0,0.00506394,4.74443
0,0.00443761,5.23024
0,0.00387584,5.7721
0,0.00337198,6.36696
0,0.00292006,6.99898
0,0.00251472,7.6421
0,0.00215116,8.28766
0,0.00182508,8.90665
0,0.00153261,9.47354
0,0.00127028,10
0,0.000799676,7.99573
0,0.000622478,6.22315
0,0.000465735,4.65561
0,0.000327087,3.26938
0,0.000204445,2.0434
0,9.59608e-05,0.959087
0.00240885,0.001,8.06162
0.00246356,0.001,6.99138
0.00252484,0.001,6.12
0.00259348,0.001,5.37018
0.00267035,0.001,4.69614
0.00275646,0.001,4.07885
0.0028529,0.001,3.50827
0.00296092,0.001,2.98434
0.00308191,0.001,2.50842
0.00321743,0.001,2.07479
0.00336921,0.001,1.68707
0.00353921,0.001,1.34868
0.00372962,0.001,1.05662
0.00394289,0.001,0.810187
0.00418177,0.001,0.60862
0.00444932,0.001,0.450064
0.00474899,0.001,0.328846
0.00508463,0.001,0.240119
0.00546057,0.001,0.174721
0.00588165,0.001,0.128969
0.00635327,0.001,0.0972567
0.00688151,0.001,0.0758406
0.00747316,0.001,0.0606215
0.00813584,0.001,0.0498658
0.00887808,0.001,0.0418232
0.00970942,0.001,0.0360146
0.0106406,0.001,0.0314967
0.0116835,0.001,0.0282083
0.0128516,0.001,0.026229
0.000217641,0.001,10
0.000419226,0.001,10
0.000605938,0.001,10
0.000778875,0.001,10
0.000939053,0.001,10
0.00108741,0.001,10
0.00122483,0.001,10
0.00135211,0.001,10
0.00146999,0.001,10
0.00157918,0.001,10
0.00168032,0.001,10
0.00177399,0.001,10
0.00186075,0.001,10
0.00194111,0.001,10
0.00201555,0.001,10
0.00208449,0.001,10
0.00214834,0.001,10
0.00220749,0.001,10
0.00226227,0.001,10
0.002313,0.001,10
0.000217641,0.001035,10
0.000419226,0.001035,10
0.000605938,0.001035,10
0.000778875,0.001035,10
0.000939053,0.001035,10
0.00108741,0.001035,10
0.00122483,0.001035,10
0.00135211,0.001035,10
0.00146999,0.001035,10
0.00157918,0.001035,10
0.00168032,0.001035,10
0.00177399,0.001035,10
0.00186075,0.001035,10
0.00194111,0.001035,10
0.00201555,0.001035,10
0.00208449,0.001035,10
0.00214834,0.001035,10
0.00220749,0.001035,10
0.00226227,0.001035,10
0.002313,0.001035,10
0.00228749,0.000953994,9.11512
0.00211641,0.00094674,9.29531
0.0019009,0.000931769,9.23185
0.00243319,0.000940924,7.20491
0.00262813,0.000922684,4.91515
0.00163614,0.000906694,9.02148
0.000557365,0.000123279,1.23083
0.00128107,0.000893818,8.92182
0.000882588,0.000857325,8.56727
0.000123574,0.000545174,5.44988
0.00280826,0.000917211,3.6689
0.00300621,0.000884999,2.69382
0.00329332,0.000875598,1.78855
0.00362264,0.000821669,1.12121
0.00087283,0.000145425,1.4482
0.00149046,0.000194127,1.88962
0.000268651,9.94983e-05,0.994236
0.00201519,0.000192744,1.69626
0.000506649,0.00085028,8.50078
0.00262102,0.000274965,1.60153
0.00406342,0.000808096,0.634383
0.000100081,0.000265766,2.6563
0.00459915,0.000754386,0.324887
0.00333631,0.000315211,0.755481
0.00527345,0.000694337,0.157113
0.00303775,0.00034285,1.20917
0.00319189,0.000573618,1.55406
0.00293214,0.000547951,2.13569
0.00235056,0.000290489,2.14217
0.00245177,0.000475645,3.28329
0.00225812,0.000479844,3.86266
0.00235843,0.00064221,4.95422
0.00218593,0.000631033,5.45916
0.00253355,0.000631205,4.06367
0.00226269,0.000750715,6.4411
0.0021252,0.000767144,7.07649
0.00204217,0.000643512,5.91086
0.00236999,0.000767027,6.06065
0.0019878,0.000759753,7.23881
0.0019073,0.000655402,6.22469
0.00252833,0.000795814,5.15962
0.00185153,0.000778799,7.58046
0.00176909,0.000669962,6.49558
0.00182749,0.000537507,5.1025
0.00168065,0.00055688,5.39878
0.00174863,0.000416775,3.96976
0.00162847,0.00068932,6.76898
0.00153402,0.000580088,5.69571
0.00148324,0.000719832,7.12632
0.00138896,0.000612217,6.05769
0.00143797,0.000466264,4.58416
0.00128476,0.000488904,4.83967
0.00123609,0.000635081,6.3119
0.00113583,0.000527101,5.24003
0.00116963,0.000360507,3.57388
0.00108648,0.000666324,6.64025
0.000986259,0.00055953,5.57631
0.00264073,0.000507761,2.8934
0.00268592,0.000671032,3.55622
0.00231459,0.000852675,7.39731
0.00221637,0.000863182,7.9842
0.00346375,0.000607732,1.13664
