t,B [mT],H [A/m]
0,0.0,0.6384492516517639
1,0.7360151149112701,0.7435334920883179
2,1.470257104943409,0.8785081505775452
3,2.2009571168304265,0.975355327129364
4,2.926354830241924,1.0801970958709717
5,3.644702698548959,1.1812353134155273
6,4.354270158816935,1.2917848825454712
7,5.0533478008833015,1.3986960649490356
8,5.740251485476347,1.5010374784469604
9,6.413326401454231,1.5949528217315674
10,7.0709510523899635,1.6853498220443726
11,7.711541162898323,1.7734167575836182
12,8.333553495294032,1.85323166847229
13,8.9354895673865,1.9314417839050293
14,9.515899262454681,1.9995843172073364
15,10.073384322705275,2.064762592315674
16,10.606601717798213,2.1225368976593018
17,11.114266880324388,2.1803228855133057
18,11.595156800441057,2.2362911701202393
19,12.048112972209674,2.282088041305542
20,12.472044184538177,2.31870436668396
21,12.86592915000408,2.3558897972106934
22,13.22881896522532,2.3874945640563965
23,13.559839396851647,2.4156413078308105
24,13.858192987669298,2.4389731884002686
25,14.12316097774531,2.456476926803589
26,14.354105035983135,2.4602410793304443
27,14.55046879791816,2.4549996852874756
28,14.711779206048456,2.4506142139434814
29,14.837647649471712,2.438462495803833
30,14.927770900082951,2.420787811279297
31,14.981931843077588,2.399501323699951
32,15.0,2.3689217567443848
33,14.981931843077588,2.3326375484466553
34,14.927770900082951,2.2936477661132812
35,14.837647649471712,2.24824595451355
36,14.711779206048456,2.1939234733581543
37,14.550468797918162,2.1341052055358887
38,14.354105035983135,2.0724503993988037
39,14.123160977745313,2.0039491653442383
40,13.8581929876693,1.928377389907837
41,13.559839396851649,1.8479913473129272
42,13.228818965225322,1.7677102088928223
43,12.865929150004082,1.6884351968765259
44,12.47204418453818,1.60395348072052
45,12.048112972209676,1.508100152015686
46,11.595156800441059,1.4125189781188965
47,11.114266880324386,1.314972996711731
48,10.606601717798215,1.2141265869140625
49,10.073384322705278,1.109932541847229
50,9.515899262454681,1.0012431144714355
51,8.935489567386501,0.891282320022583
52,8.33355349529403,0.7826718688011169
53,7.711541162898325,0.6714529395103455
54,7.070951052389967,0.5570884943008423
55,6.41332640145423,0.4442402124404907
56,5.740251485476349,0.3287889063358307
57,5.053347800883305,0.21013635396957397
58,4.354270158816935,0.09159357845783234
59,3.644702698548961,-0.029034461826086044
60,2.926354830241929,-0.15155594050884247
61,2.200957116830427,-0.2743232548236847
62,1.4702571049434126,-0.3941444158554077
63,0.7360151149112696,-0.511538565158844
64,1.8369701987210296e-15,-0.6288079023361206
65,-0.7360151149112658,-0.7448095083236694
66,-1.4702571049434088,-0.8574645519256592
67,-2.200957116830424,-0.9684514999389648
68,-2.9263548302419253,-1.0770360231399536
69,-3.644702698548958,-1.1836371421813965
70,-4.354270158816933,-1.290876030921936
71,-5.0533478008833015,-1.3968104124069214
72,-5.740251485476345,-1.495076060295105
73,-6.413326401454227,-1.5885450839996338
74,-7.0709510523899635,-1.6783212423324585
75,-7.711541162898323,-1.761034607887268
76,-8.333553495294026,-1.8393925428390503
77,-8.9354895673865,-1.9144361019134521
78,-9.51589926245468,-1.9853993654251099
79,-10.073384322705277,-2.0527184009552
80,-10.606601717798211,-2.1092731952667236
81,-11.114266880324385,-2.1600871086120605
82,-11.595156800441051,-2.209928035736084
83,-12.048112972209678,-2.257835626602173
84,-12.472044184538179,-2.3029024600982666
85,-12.865929150004078,-2.340679407119751
86,-13.228818965225319,-2.3692150115966797
87,-13.559839396851643,-2.391857624053955
88,-13.858192987669295,-2.4116647243499756
89,-14.12316097774531,-2.4282939434051514
90,-14.354105035983133,-2.437217950820923
91,-14.55046879791816,-2.4369208812713623
92,-14.711779206048455,-2.4263992309570312
93,-14.83764764947171,-2.4058852195739746
94,-14.927770900082951,-2.3813838958740234
95,-14.981931843077588,-2.3582260608673096
96,-15.0,-2.332019090652466
97,-14.98193184307759,-2.2998812198638916
98,-14.927770900082953,-2.2630550861358643
99,-14.837647649471712,-2.2192938327789307
100,-14.711779206048456,-2.167574167251587
101,-14.550468797918162,-2.111884593963623
102,-14.354105035983135,-2.050177812576294
103,-14.123160977745313,-1.982377290725708
104,-13.858192987669298,-1.9114922285079956
105,-13.559839396851647,-1.834645390510559
106,-13.228818965225322,-1.7505277395248413
107,-12.865929150004082,-1.6652202606201172
108,-12.47204418453818,-1.5769799947738647
109,-12.048112972209681,-1.4832398891448975
110,-11.595156800441055,-1.3886686563491821
111,-11.114266880324388,-1.290863275527954
112,-10.606601717798215,-1.1895636320114136
113,-10.07338432270528,-1.0873874425888062
114,-9.515899262454688,-0.9845491647720337
115,-8.935489567386497,-0.8773378133773804
116,-8.333553495294032,-0.7675631046295166
117,-7.711541162898326,-0.6502749919891357
118,-7.070951052389968,-0.5316660404205322
119,-6.4133264014542375,-0.41364559531211853
120,-5.740251485476355,-0.3001122772693634
121,-5.053347800883301,-0.1891828328371048
122,-4.354270158816937,-0.07573273777961731
123,-3.6447026985489632,0.04366719722747803
124,-2.926354830241931,0.1669357717037201
125,-2.200957116830436,0.2832713723182678
126,-1.4702571049434077,0.40614068508148193
127,-0.7360151149112714,0.5301947593688965
