fc;P_eddy;P_mag;P_tot;flux_r;flux_i
89080;122.609;625.781;748.391;1.04403e-06;-1.06738e-08
99950;117.232;787.822;905.054;1.04402e-06;-1.20181e-08
112160;117.81;992.062;1109.87;1.044e-06;-1.35454e-08
125860;126.969;1263.54;1390.51;1.04994e-06;-1.53707e-08
141270;144.285;1591.9;1736.18;1.04991e-06;-1.73715e-08
158500;172.776;1981.19;2153.97;1.0439e-06;-1.95457e-08
177820;221.938;2493.63;2715.57;1.04385e-06;-2.21625e-08
199500;296.296;3103.02;3399.32;1.03782e-06;-2.50511e-08
223850;421.255;3951.85;4373.1;1.04369e-06;-2.87367e-08
251170;610.051;4975.49;5585.54;1.04357e-06;-3.2901e-08
281850;903.12;6265.54;7168.66;1.0434e-06;-3.78459e-08
316230;1372.39;7978.35;9350.74;1.04913e-06;-4.40135e-08
354820;2083.75;10045.7;12129.4;1.0488e-06;-5.12234e-08
398100;3112.62;12362.5;15475.1;1.03642e-06;-5.93662e-08
446680;4776.4;15568.6;20345;1.03575e-06;-7.01753e-08
