fc;P_eddy;P_mag;P_tot;flux_r;flux_i
100000;22.7021;308.481;331.183;2.83965e-07;-1.65723e-08
123860;30.2877;473.26;503.548;2.83695e-07;-2.06861e-08
153413;47.3942;726.081;773.475;2.83264e-07;-2.59243e-08
190017;83.2151;1114.04;1197.25;2.82564e-07;-3.26809e-08
235355;158.177;1709.57;1867.75;2.81397e-07;-4.15512e-08
291510;317.615;2624.46;2942.07;2.79379e-07;-5.34582e-08
361064;661.408;4032.38;4693.79;2.75744e-07;-6.98285e-08
447214;1404.64;6207.08;7611.73;2.68919e-07;-9.26986e-08
553918;2986.83;9590.72;12577.6;2.55919e-07;-1.24161e-07
686083;6214.89;14919;21133.9;2.32628e-07;-1.63691e-07
849781;12302.4;23427;35729.4;1.98289e-07;-2.03942e-07
1.05254e+06;22584.7;37091.3;59676.1;1.61192e-07;-2.34367e-07
1.30367e+06;38208.7;58825.9;97034.6;1.30998e-07;-2.52488e-07
1.61473e+06;60660.9;92820;153481;1.08949e-07;-2.62756e-07
2e+06;92875.1;145364;238239;9.19548e-08;-2.69174e-07
