fc;P_eddy;P_mag;P_tot;flux_r;flux_i;NI
100000;90.8084;1233.92;1324.73;5.67929e-07;-3.31445e-08;0.116404
123860;121.151;1893.04;2014.19;5.67389e-07;-4.13722e-08;0.116124
153413;189.577;2904.32;3093.9;5.66528e-07;-5.18485e-08;0.115705
190017;332.86;4456.16;4789.02;5.65128e-07;-6.53617e-08;0.115088
235355;632.709;6838.3;7471.01;5.62793e-07;-8.31024e-08;0.114201
291510;1270.46;10497.8;11768.3;5.58759e-07;-1.06916e-07;0.112985
361064;2645.63;16129.5;18775.1;5.51487e-07;-1.39657e-07;0.111466
447214;5618.57;24828.3;30446.9;5.37838e-07;-1.85397e-07;0.109962
553918;11947.3;38362.9;50310.2;5.11838e-07;-2.48322e-07;0.109541
686083;24859.6;59676.2;84535.7;4.65256e-07;-3.27382e-07;0.112725
849781;49209.6;93708.1;142918;3.96577e-07;-4.07883e-07;0.123501
1.05254e+06;90338.9;148365;238704;3.22384e-07;-4.68733e-07;0.14492
1.30367e+06;152835;235304;388138;2.61996e-07;-5.04976e-07;0.176595
1.61473e+06;242644;371280;613924;2.17898e-07;-5.25512e-07;0.216701
2e+06;371500;581457;952957;1.8391e-07;-5.38349e-07;0.265098
